video_name	video_url	video_descriptions
video_1	https://youtu.be/l8m-WIicDC4	An airplane is landing on the runway
video_2	https://youtu.be/M7LXpPsF58M	A man was gliding through the air
video_3	https://youtu.be/XzGD-717K_U	Bears play in trees
video_4	https://youtu.be/DfgTbetsz18	A group of people hit the ball on bicycles
video_5	https://youtu.be/9s2oRieBfcw	A bus is passing through the cave
video_6	https://youtu.be/wexQO5mIlhw	A car hit the iron plate
video_7	https://youtu.be/cP7RaajOD7c	An airplane is about to land on the runway
video_8	https://youtu.be/EdS4Db2HWho	A chef is cooking
video_9	https://youtu.be/0wrAfUiufEY	Scenery around the Eiffel Tower
video_10	https://youtu.be/MmcjfgkBUYs	Excavators are transporting people across the river
video_11	https://youtu.be/X0xYvHrq_w0	A pile of matches is burning
video_12	https://youtu.be/6C79KWt_Iog	A man slides on a long sliding plate
video_13	https://youtu.be/m1zYYOSldKA	Three children are playing with fallen leaves
video_14	https://youtu.be/FSDdXBYmx48	People are visiting the magnificent buildings
video_15	https://youtu.be/jWa1hRAhtyI	Men are shooting on the grass
video_16	https://youtu.be/C5DMk5oYyZo	Children are playing on the slide
video_17	https://youtu.be/kXJ-kkdunrs	People are dragging dolphins back from the beach to the sea
video_18	https://youtu.be/dU4U4x88DWI	Divers are filming under the sea
video_19	https://youtu.be/FB4sqgmWfKM	An airplane is flying over the beach
video_20	https://youtu.be/8xIiQreShcs	People are visiting the Statue of Liberty
video_21	https://youtu.be/ML1-4n4KOpw	A remote control plane is flying in the air
video_22	https://youtu.be/KP252dLMo7g	A man is competing in a bicycle race
video_23	https://youtu.be/zH_17wDkmR0	A car is driving in the wilderness
video_24	https://youtu.be/OdX0Bv491NY	People are jumping into the water from stones
video_25	https://youtu.be/EbCYqpy42wQ	A bird and a dog are playing a small ball
